,Título,Endereço,Número,Bairro,Cidade,Estado,Área,Quartos,Banheiros,Vagas,Preço
4370,"Apartamento com 2 Quartos à Venda, 10m²",N/I,N/I,Cidade Industrial,Curitiba,PR,10,2,1,1,R$ 145.000
4371,"Apartamento com 3 Quartos à Venda, 59m²",Rua Rezala Simão,650,Santa Quitéria,Curitiba,PR,59,3,1,1,R$ 249.000
4372,"Apartamento com 2 Quartos à Venda, 107m²",Rua Marechal Octávio Saldanha Mazza,6650,Capão Raso,Curitiba,PR,107,2,2,1,"R$ 400.000
                        
Preço abaixo do mercado"
4373,"Apartamento com 3 Quartos à Venda, 300m²",Avenida Nossa Senhora da Luz,636,Cabral,Curitiba,PR,300,3,1,3,R$ 6.054.718
4374,"Apartamento com 2 Quartos à Venda, 52m²",Rua Doutor Leão Mocellin,N/I,Santa Felicidade,Curitiba,PR,52,2,1,1,R$ 441.900
4375,"Apartamento com 4 Quartos à Venda, 182m²",Avenida Sete de Setembro,4699,Batel,Curitiba,PR,182,4,3,2,R$ 1.150.000
4376,"Apartamento com 2 Quartos à Venda, 48m²",Rua Robert Redzimski,71,Campo Comprido,Curitiba,PR,48,2,1,1,R$ 165.000
4377,"Apartamento com 3 Quartos à Venda, 108m²",Rua Engenheiro Niepce da Silva,144,Portão,Curitiba,PR,108,3,3,2,R$ 1.150.000
4378,"Apartamento com 2 Quartos à Venda, 134m²",Rua Desembargador Otávio do Amaral,N/I,Bigorrilho,Curitiba,PR,134,2,1,2,R$ 2.180.513
4379,"Apartamento com 3 Quartos à Venda, 93m²",Rua Alberto Folloni,815,Juvevê,Curitiba,PR,93,3,3,2,R$ 859.000
4380,"Apartamento com 2 Quartos à Venda, 59m²",Rua José Cadilhe,415,Água Verde,Curitiba,PR,59,2,1,1,R$ 627.900
4381,"Apartamento com 2 Quartos à Venda, 52m²",N/I,N/I,Xaxim,Curitiba,PR,52,2,1,1,R$ 297.600
4382,"Apartamento com 3 Quartos à Venda, 103m²",Rua Estados Unidos,1890,Boa Vista,Curitiba,PR,103,3,3,1,R$ 900.454
4383,"Apartamento com 2 Quartos à Venda, 60m²",Rua Nicolau Salomão,430,Tingui,Curitiba,PR,60,2,2,1,R$ 451.900
4384,"Apartamento com 2 Quartos à Venda, 52m²",Rua Agostinho Brusamolin,941,Neoville,Curitiba,PR,52,2,2,1,R$ 341.000
